"region","site_code","transect","quadrat_meter","taxon_id","abundance_5.6","abundance_4.0","abundance_2.8","abundance_2.0","abundance_1.4","abundance_1.0","abundance_0.71","abundance_0.5","taxon_abundance_total","year","quadrat_unique_code","transect_unique_code","site_unique_code"
"AK","A","U1","m4","Lacuna vincta",NA,NA,NA,NA,NA,11,45,48,104,"2019","AK.A.U1.m4.2019","AK.A.U1.2019","AK.A.2019"
"AK","A","U1","m4","bivalve A",NA,NA,NA,NA,NA,6,5,3,14,"2019","AK.A.U1.m4.2019","AK.A.U1.2019","AK.A.2019"
"AK","A","U1","m4","Eusiroid",NA,NA,NA,NA,NA,NA,1,NA,1,"2019","AK.A.U1.m4.2019","AK.A.U1.2019","AK.A.2019"
"AK","A","U1","m4","Mytilidae",NA,NA,NA,NA,NA,NA,NA,1,1,"2019","AK.A.U1.m4.2019","AK.A.U1.2019","AK.A.2019"
"AK","A","U1","m16","Pugettia richii",1,NA,NA,NA,NA,NA,NA,NA,1,"2019","AK.A.U1.m16.2019","AK.A.U1.2019","AK.A.2019"
"AK","A","U1","m16","Pentidotea resecata",NA,NA,3,NA,3,1,NA,NA,7,"2019","AK.A.U1.m16.2019","AK.A.U1.2019","AK.A.2019"
"AK","A","U1","m16","Polynoid A",NA,NA,1,NA,1,1,3,NA,6,"2019","AK.A.U1.m16.2019","AK.A.U1.2019","AK.A.2019"
"AK","A","U1","m16","Leptochelia sp.",NA,NA,NA,NA,2,2,19,26,49,"2019","AK.A.U1.m16.2019","AK.A.U1.2019","AK.A.2019"
"AK","A","U1","m16","Lacuna vincta",NA,NA,NA,NA,3,3,9,27,42,"2019","AK.A.U1.m16.2019","AK.A.U1.2019","AK.A.2019"
"AK","A","U1","m16","bivalve A",NA,NA,NA,NA,1,1,4,NA,6,"2019","AK.A.U1.m16.2019","AK.A.U1.2019","AK.A.2019"
"AK","A","U1","m16","Alvania compacta",NA,NA,NA,NA,NA,1,7,10,18,"2019","AK.A.U1.m16.2019","AK.A.U1.2019","AK.A.2019"
"AK","A","U1","m16","Monocorophium sp.",NA,NA,NA,NA,NA,1,1,NA,2,"2019","AK.A.U1.m16.2019","AK.A.U1.2019","AK.A.2019"
"AK","A","U1","m16","Caprella laeviuscula",NA,NA,NA,NA,NA,1,NA,1,2,"2019","AK.A.U1.m16.2019","AK.A.U1.2019","AK.A.2019"
"AK","A","U1","m16","Heterophoxus sp.",NA,NA,NA,NA,NA,NA,2,NA,2,"2019","AK.A.U1.m16.2019","AK.A.U1.2019","AK.A.2019"
"AK","A","U2","m4","Pentidotea resecata",NA,NA,NA,2,5,1,NA,NA,8,"2019","AK.A.U2.m4.2019","AK.A.U2.2019","AK.A.2019"
"AK","A","U2","m4","Polynoid A",NA,NA,1,1,NA,NA,NA,NA,2,"2019","AK.A.U2.m4.2019","AK.A.U2.2019","AK.A.2019"
"AK","A","U2","m4","Polynoid (unknown)",NA,NA,NA,NA,3,1,2,2,8,"2019","AK.A.U2.m4.2019","AK.A.U2.2019","AK.A.2019"
"AK","A","U2","m4","Polynoid C",NA,NA,NA,NA,3,1,1,1,6,"2019","AK.A.U2.m4.2019","AK.A.U2.2019","AK.A.2019"
"AK","A","U2","m4","Leptochelia sp.",NA,NA,NA,2,22,28,69,102,223,"2019","AK.A.U2.m4.2019","AK.A.U2.2019","AK.A.2019"
"AK","A","U2","m4","Lacuna vincta",NA,NA,NA,NA,2,14,45,32,93,"2019","AK.A.U2.m4.2019","AK.A.U2.2019","AK.A.2019"
"AK","A","U2","m4","gastropod B",NA,NA,NA,NA,1,NA,NA,NA,1,"2019","AK.A.U2.m4.2019","AK.A.U2.2019","AK.A.2019"
"AK","A","U2","m4","bivalve A",NA,NA,NA,NA,6,4,2,1,13,"2019","AK.A.U2.m4.2019","AK.A.U2.2019","AK.A.2019"
"AK","A","U2","m4","Caprella laeviuscula",NA,NA,NA,NA,1,NA,NA,2,3,"2019","AK.A.U2.m4.2019","AK.A.U2.2019","AK.A.2019"
"AK","A","U2","m4","Alvania compacta",NA,NA,NA,NA,NA,7,25,43,75,"2019","AK.A.U2.m4.2019","AK.A.U2.2019","AK.A.2019"
"AK","A","U2","m4","Heterophoxus sp.",NA,NA,NA,NA,NA,NA,2,NA,2,"2019","AK.A.U2.m4.2019","AK.A.U2.2019","AK.A.2019"
"AK","A","U2","m4","Mytilidae",NA,NA,NA,NA,NA,NA,2,1,3,"2019","AK.A.U2.m4.2019","AK.A.U2.2019","AK.A.2019"
"AK","A","U2","m4","Eusiroid",NA,NA,NA,NA,NA,NA,NA,1,1,"2019","AK.A.U2.m4.2019","AK.A.U2.2019","AK.A.2019"
"AK","A","U2","m4","Platynereis bicanaliculata",NA,NA,NA,NA,NA,NA,NA,1,1,"2019","AK.A.U2.m4.2019","AK.A.U2.2019","AK.A.2019"
"AK","A","U2","m16","Lottia pelta",NA,1,NA,NA,NA,NA,NA,NA,1,"2019","AK.A.U2.m16.2019","AK.A.U2.2019","AK.A.2019"
"AK","A","U2","m16","Platynereis bicanaliculata",NA,1,NA,NA,NA,NA,NA,NA,1,"2019","AK.A.U2.m16.2019","AK.A.U2.2019","AK.A.2019"
"AK","A","U2","m16","Lacuna sp.",NA,NA,NA,2,1,2,1,NA,6,"2019","AK.A.U2.m16.2019","AK.A.U2.2019","AK.A.2019"
"AK","A","U2","m16","gastropod B",NA,NA,NA,1,1,1,NA,1,4,"2019","AK.A.U2.m16.2019","AK.A.U2.2019","AK.A.2019"
"AK","A","U2","m16","Polynoid A",NA,NA,NA,1,1,NA,NA,NA,2,"2019","AK.A.U2.m16.2019","AK.A.U2.2019","AK.A.2019"
"AK","A","U2","m16","Leptochelia sp.",NA,NA,NA,NA,5,1,1,6,13,"2019","AK.A.U2.m16.2019","AK.A.U2.2019","AK.A.2019"
"AK","A","U2","m16","bivalve B",NA,NA,NA,NA,1,NA,NA,NA,1,"2019","AK.A.U2.m16.2019","AK.A.U2.2019","AK.A.2019"
"AK","A","U2","m16","bivalve A",NA,NA,NA,NA,1,9,NA,NA,10,"2019","AK.A.U2.m16.2019","AK.A.U2.2019","AK.A.2019"
"AK","A","U2","m16","Pentidotea resecata",NA,NA,NA,NA,2,NA,NA,NA,2,"2019","AK.A.U2.m16.2019","AK.A.U2.2019","AK.A.2019"
"AK","A","U2","m16","Phoxocephalidae",NA,NA,NA,NA,NA,1,NA,NA,1,"2019","AK.A.U2.m16.2019","AK.A.U2.2019","AK.A.2019"
"AK","A","U2","m16","Caprella laeviuscula",NA,NA,NA,NA,NA,1,NA,1,2,"2019","AK.A.U2.m16.2019","AK.A.U2.2019","AK.A.2019"
"AK","A","U3","m4","Caprella laeviuscula",NA,NA,1,NA,4,1,1,NA,7,"2019","AK.A.U3.m4.2019","AK.A.U3.2019","AK.A.2019"
"AK","A","U3","m4","Pentidotea resecata",NA,NA,NA,1,NA,1,NA,NA,2,"2019","AK.A.U3.m4.2019","AK.A.U3.2019","AK.A.2019"
"AK","A","U3","m4","Pleocyemata",NA,NA,NA,1,1,NA,NA,NA,2,"2019","AK.A.U3.m4.2019","AK.A.U3.2019","AK.A.2019"
"AK","A","U3","m4","Lacuna vincta",NA,NA,NA,NA,1,19,18,5,43,"2019","AK.A.U3.m4.2019","AK.A.U3.2019","AK.A.2019"
"AK","A","U3","m4","Alvania compacta",NA,NA,NA,NA,1,NA,3,2,6,"2019","AK.A.U3.m4.2019","AK.A.U3.2019","AK.A.2019"
"AK","A","U3","m4","Leptochelia sp.",NA,NA,NA,NA,NA,3,8,5,16,"2019","AK.A.U3.m4.2019","AK.A.U3.2019","AK.A.2019"
"AK","A","U3","m4","Monocorophium sp.",NA,NA,NA,NA,NA,1,NA,NA,1,"2019","AK.A.U3.m4.2019","AK.A.U3.2019","AK.A.2019"
"AK","A","U3","m4","Mytilidae",NA,NA,NA,NA,NA,NA,NA,1,1,"2019","AK.A.U3.m4.2019","AK.A.U3.2019","AK.A.2019"
"AK","A","U3","m16","Platynereis bicanaliculata",1,NA,NA,NA,NA,NA,NA,NA,1,"2019","AK.A.U3.m16.2019","AK.A.U3.2019","AK.A.2019"
"AK","A","U3","m16","Caprella laeviuscula",1,NA,NA,2,NA,NA,1,NA,4,"2019","AK.A.U3.m16.2019","AK.A.U3.2019","AK.A.2019"
"AK","A","U3","m16","Lacuna sp.",NA,NA,NA,NA,3,3,1,NA,7,"2019","AK.A.U3.m16.2019","AK.A.U3.2019","AK.A.2019"
"AK","A","U3","m16","Pentidotea sp.",NA,NA,NA,3,2,1,NA,NA,6,"2019","AK.A.U3.m16.2019","AK.A.U3.2019","AK.A.2019"
"AK","A","U3","m16","Caridea",NA,NA,NA,NA,1,NA,NA,NA,1,"2019","AK.A.U3.m16.2019","AK.A.U3.2019","AK.A.2019"
"AK","A","U3","m16","Alvania compacta",NA,NA,NA,NA,NA,1,NA,NA,1,"2019","AK.A.U3.m16.2019","AK.A.U3.2019","AK.A.2019"
"AK","A","U3","m16","Leptochelia sp.",NA,NA,NA,NA,NA,NA,1,NA,1,"2019","AK.A.U3.m16.2019","AK.A.U3.2019","AK.A.2019"
"AK","B","L4","m4","Lacuna vincta",NA,NA,2,NA,NA,1,NA,NA,3,"2019","AK.B.L4.m4.2019","AK.B.L4.2019","AK.B.2019"
"AK","B","L4","m4","Caridea",NA,NA,NA,1,NA,NA,NA,NA,1,"2019","AK.B.L4.m4.2019","AK.B.L4.2019","AK.B.2019"
"AK","B","L4","m4","gastropod B",NA,NA,NA,NA,1,2,NA,NA,3,"2019","AK.B.L4.m4.2019","AK.B.L4.2019","AK.B.2019"
"AK","B","L4","m4","bivalve A",NA,NA,NA,NA,NA,2,1,1,4,"2019","AK.B.L4.m4.2019","AK.B.L4.2019","AK.B.2019"
"AK","B","L4","m4","Aoroides sp.",NA,NA,NA,NA,NA,NA,NA,1,1,"2019","AK.B.L4.m4.2019","AK.B.L4.2019","AK.B.2019"
"AK","B","L4","m4","Leptochelia sp.",NA,NA,NA,NA,NA,NA,NA,1,1,"2019","AK.B.L4.m4.2019","AK.B.L4.2019","AK.B.2019"
"AK","B","L4","m4","Eusiroid",NA,NA,NA,NA,NA,NA,NA,2,2,"2019","AK.B.L4.m4.2019","AK.B.L4.2019","AK.B.2019"
"AK","B","L4","m4","Caprella laeviuscula",NA,NA,NA,NA,NA,NA,NA,1,1,"2019","AK.B.L4.m4.2019","AK.B.L4.2019","AK.B.2019"
"AK","B","L4","m16","bivalve A",1,NA,NA,NA,NA,NA,NA,NA,1,"2019","AK.B.L4.m16.2019","AK.B.L4.2019","AK.B.2019"
"AK","B","L4","m16","Lacuna vincta",NA,NA,1,NA,NA,NA,NA,NA,1,"2019","AK.B.L4.m16.2019","AK.B.L4.2019","AK.B.2019"
"AK","B","L5","m4","Polynoid A",NA,NA,NA,1,NA,NA,NA,NA,1,"2019","AK.B.L5.m4.2019","AK.B.L5.2019","AK.B.2019"
"AK","B","L5","m4","bivalve A",NA,NA,NA,NA,2,NA,NA,NA,2,"2019","AK.B.L5.m4.2019","AK.B.L5.2019","AK.B.2019"
"AK","B","L5","m4","Leptochelia sp.",NA,NA,NA,NA,1,3,NA,1,5,"2019","AK.B.L5.m4.2019","AK.B.L5.2019","AK.B.2019"
"AK","B","L5","m4","hurley worm",NA,NA,NA,NA,3,NA,NA,NA,3,"2019","AK.B.L5.m4.2019","AK.B.L5.2019","AK.B.2019"
"AK","B","L5","m4","Lacuna vincta",NA,NA,NA,NA,NA,1,NA,NA,1,"2019","AK.B.L5.m4.2019","AK.B.L5.2019","AK.B.2019"
"AK","B","L5","m16","Alvania compacta",NA,NA,NA,NA,NA,1,1,NA,2,"2019","AK.B.L5.m16.2019","AK.B.L5.2019","AK.B.2019"
"AK","B","L5","m16","Lacuna vincta",NA,NA,NA,NA,NA,NA,1,1,2,"2019","AK.B.L5.m16.2019","AK.B.L5.2019","AK.B.2019"
"AK","B","L5","m16","Leptochelia sp.",NA,NA,NA,NA,NA,NA,NA,1,1,"2019","AK.B.L5.m16.2019","AK.B.L5.2019","AK.B.2019"
"AK","B","L5","m16","Eusiroid",NA,NA,NA,NA,NA,NA,NA,4,4,"2019","AK.B.L5.m16.2019","AK.B.L5.2019","AK.B.2019"
"AK","B","L6","m4","Hippolyte sp.",1,NA,NA,NA,NA,NA,NA,NA,1,"2019","AK.B.L6.m4.2019","AK.B.L6.2019","AK.B.2019"
"AK","B","L6","m4","Alvania compacta",NA,NA,NA,NA,1,NA,NA,NA,1,"2019","AK.B.L6.m4.2019","AK.B.L6.2019","AK.B.2019"
"AK","B","L6","m4","Lacuna vincta",NA,NA,NA,2,NA,NA,NA,1,3,"2019","AK.B.L6.m4.2019","AK.B.L6.2019","AK.B.2019"
"AK","B","L6","m4","Platynereis bicanaliculata",NA,NA,NA,1,NA,NA,NA,NA,1,"2019","AK.B.L6.m4.2019","AK.B.L6.2019","AK.B.2019"
"AK","B","L6","m4","Polynoid C",NA,NA,NA,NA,NA,1,NA,NA,1,"2019","AK.B.L6.m4.2019","AK.B.L6.2019","AK.B.2019"
"AK","B","L6","m4","Eusiroid",NA,NA,NA,NA,NA,2,5,5,12,"2019","AK.B.L6.m4.2019","AK.B.L6.2019","AK.B.2019"
"AK","B","L6","m4","Aoroides sp.",NA,NA,NA,NA,NA,1,1,NA,2,"2019","AK.B.L6.m4.2019","AK.B.L6.2019","AK.B.2019"
"AK","B","L6","m16","Pentidotea resecata",1,NA,NA,NA,NA,NA,NA,NA,1,"2019","AK.B.L6.m16.2019","AK.B.L6.2019","AK.B.2019"
"AK","B","L6","m16","Platynereis bicanaliculata",NA,NA,1,NA,NA,NA,NA,NA,1,"2019","AK.B.L6.m16.2019","AK.B.L6.2019","AK.B.2019"
"AK","B","L6","m16","Aoroides sp.",NA,NA,NA,NA,NA,1,3,NA,4,"2019","AK.B.L6.m16.2019","AK.B.L6.2019","AK.B.2019"
"AK","B","L6","m16","Eusiroid",NA,NA,NA,NA,NA,1,1,NA,2,"2019","AK.B.L6.m16.2019","AK.B.L6.2019","AK.B.2019"
"AK","B","U1","m4","Caprella laeviuscula",NA,NA,1,NA,NA,NA,NA,NA,1,"2019","AK.B.U1.m4.2019","AK.B.U1.2019","AK.B.2019"
"AK","B","U1","m4","Lacuna vincta",NA,NA,1,1,NA,7,4,1,14,"2019","AK.B.U1.m4.2019","AK.B.U1.2019","AK.B.2019"
"AK","B","U1","m4","Polynoid A",NA,NA,NA,NA,1,3,NA,1,5,"2019","AK.B.U1.m4.2019","AK.B.U1.2019","AK.B.2019"
"AK","B","U1","m4","Caridea",NA,NA,NA,NA,NA,1,NA,NA,1,"2019","AK.B.U1.m4.2019","AK.B.U1.2019","AK.B.2019"
"AK","B","U1","m4","amphipod A",NA,NA,NA,NA,NA,NA,NA,1,1,"2019","AK.B.U1.m4.2019","AK.B.U1.2019","AK.B.2019"
"AK","B","U1","m4","Eusiroid",NA,NA,NA,NA,NA,2,NA,8,10,"2019","AK.B.U1.m4.2019","AK.B.U1.2019","AK.B.2019"
"AK","B","U1","m4","Alvania compacta",NA,NA,NA,NA,NA,NA,2,2,4,"2019","AK.B.U1.m4.2019","AK.B.U1.2019","AK.B.2019"
"AK","B","U1","m4","Leptochelia sp.",NA,NA,NA,NA,NA,NA,NA,1,1,"2019","AK.B.U1.m4.2019","AK.B.U1.2019","AK.B.2019"
"AK","B","U1","m16","Lacuna vincta",NA,NA,1,NA,3,NA,2,2,8,"2019","AK.B.U1.m16.2019","AK.B.U1.2019","AK.B.2019"
"AK","B","U1","m16","Pentidotea sp.",NA,NA,NA,1,NA,NA,NA,NA,1,"2019","AK.B.U1.m16.2019","AK.B.U1.2019","AK.B.2019"
"AK","B","U1","m16","Caprella laeviuscula",NA,NA,NA,1,NA,NA,NA,NA,1,"2019","AK.B.U1.m16.2019","AK.B.U1.2019","AK.B.2019"
"AK","B","U1","m16","Aoroides sp.",NA,NA,NA,1,1,5,NA,1,8,"2019","AK.B.U1.m16.2019","AK.B.U1.2019","AK.B.2019"
"AK","B","U1","m16","gastropod C?",NA,NA,NA,NA,1,NA,NA,NA,1,"2019","AK.B.U1.m16.2019","AK.B.U1.2019","AK.B.2019"
"AK","B","U1","m16","Pontogeneia rostrata",NA,NA,NA,NA,1,NA,NA,NA,1,"2019","AK.B.U1.m16.2019","AK.B.U1.2019","AK.B.2019"
"AK","B","U1","m16","Polynoid A",NA,NA,NA,NA,1,NA,NA,NA,1,"2019","AK.B.U1.m16.2019","AK.B.U1.2019","AK.B.2019"
"AK","B","U1","m16","Monocorophium acherusicum",NA,NA,NA,NA,1,1,NA,NA,2,"2019","AK.B.U1.m16.2019","AK.B.U1.2019","AK.B.2019"
"AK","B","U1","m16","gastropod G",NA,NA,NA,NA,1,NA,NA,NA,1,"2019","AK.B.U1.m16.2019","AK.B.U1.2019","AK.B.2019"
